Trial_ID,Trial Number/Name,Paper Name,Journal,Paper Link,Publication Year,# of Arm,Control Group,Study Phase,Sample Size,Priamry Outcome,Primary Outcome Type,Trial Success(Primary Outcome Significant),Statistical Model,Randomization Scheme,Randomization Scheme(High Level),Research Area,Citation,Number of Rows,Is Longitudinal
46,,"Evaluating the effectiveness of a structured,
simulator-assisted, peer-led training on cardiovascular
physical examination in third-year medical students: a
prospective, randomized, controlled trial",GMS Journal for Medical Education,10.3205/zma001504,2021,2,Control,Not Applicable,70,Total score (0–25) on a standardized cardiovascular-PE checklist,Continuous,Yes,"Normality check: Shapiro–Wilk

Group comparisons: Independent t-test (for normal data) or Mann–Whitney U (non-normal), with Bonferroni correction for subdomains; Fisher’s exact for nominal

Correlations: Spearman’s rs

Adjusted analysis: Hierarchical multiple linear regression of total score on prespecified covariates, then group assignment",simple randomization,Simple,"General Medicine, Health Services & Education",16,101,
47,U1111-1262-1740,"Comparison between high-flow
nasal cannula (HFNC) therapy
and noninvasive ventilation (NIV) in children
with acute respiratory failure by bronchiolitis:
a randomized controlled trial",BMC pediatrics,https://bmcpediatr.biomedcentral.com/articles/10.1186/s12887-024-05058-6,2024,2,NIV,Not Applicable,252,Requirement for invasive mechanical ventilation,Binary,Yes,"Primary outcome: Farrington-Manning test for noninferiority 47

Group comparisons: Wilcoxon/Mann–Whitney test; chi-square test 47

Time-to-event (intubation): Log-rank test 47

Repeated measures: Friedman test with Wilcoxon paired post-hoc (Bonferroni correction) 47

Effect size: Cohen’s d",simple randomization,Simple,"Women's, Maternal & Child Health",12,120,
48,NCT01781780,"The effectiveness of breakfast recommendations on weight loss:
a randomized controlled trial",The American journal of clinical nutrition,https://doi.org/10.3945/ajcn.114.089573,2014,3,Control,Not Applicable,255,Weight change from baseline to 16 weeks,Continuous,No,"Primary analysis:

Ordinary least squares linear regression, adjusted for baseline covariates.

Type II ANOVA for between-group comparisons.

Multiple imputation for missing data (via MICE package in R).

Secondary analyses:

Compliance-adjusted regression using self-reported adherence.",Stratified block by eating status,Stratified Block,"Nutrition, Metabolism & Lifestyle",201,460,
49,NCT03025815,"Impact of a pre-feeding oral stimulation
program on first feed attempt in preterm
infants: Double-blind controlled clinical trial",PloS one,https://doi.org/10.1371/journal.pone.0237915,2020,2,Control,Not Applicable,74,"Oral Feeding Skills (OFS) level at first oral feeding, which includes:

Proficiency (PRO, % volume taken in first 5 minutes)

Rate of Transfer (RT, mL/min)",Continuous; Ordinal,Yes,"Fisher’s exact test, Student’s t-test, Mann–Whitney U test

Logistic regression (OFS level 4 vs. lower levels)

Generalized estimating equations (GEE) for volume intake trends

Cox proportional hazards model for time to full oral feeding","blocked randomization, stratified by gestational age",Stratified Block,"Women's, Maternal & Child Health",53,6030,
50,cgd,A controlled trial of interferon gamma to prevent infection in chronic granulomatous disease,New England Journal of Medicine,10.1056/NEJM199102213240801,1991,2,Placebo,Not Applicable,128,Time to first serious infection (requiring hospitalisation + parenteral antibiotics),Time-to-event,Yes,"Time-to-event: Kaplan–Meier curves with log-rank test (for time to first serious infection).

Binary/count outcomes: χ² or Fisher’s exact tests for proportions; comparisons of infection counts (likely Poisson or similar, though not specified)","
stratified by inherit",Stratified,Infectious Diseases & Immunology,751,75,
51,,The impact of sleep hygiene education and lavender essential oil inhalation on the sleep quality and overall well-being of athletes who undergo late-evening training: a randomized controlled trial,F1000Research,https://doi.org/10.12688/f1000research.150977.1,2024,4,Control,Not Applicable,37,Sleep latency over 7-day intervention,Continuous,Yes for sleep latency group comparison,One-way ANOVA/Kruskal-Wallis for actigraphy; two-way ANOVA or F1-LD-F1 model for repeated questionnaire outcomes,simple randomization,Simple,"Nutrition, Metabolism & Lifestyle",1,796,
52,,Efficacy of tenapanor in managing hyperphosphatemia and constipation in hemodialysis patients: A randomized controlled trial,PLoS ONE,https://doi.org/10.1371/journal.pone.0319319,2025,2,Control,Not Applicable,69,Change in serum phosphorus at 23 weeks; tenapanor-arm stool consistency at 7 weeks,Continuous; Ordinal,"Mixed; BSFS improved within tenapanor group, serum phosphorus between-group difference not significant",Repeated-measures ANOVA for blood data; Sankey/McNemar with Bonferroni for BSFS/laxative changes; ITT,stratified randomization,Stratified,Nephrology,3,57,
53,,"Analgesic Effect of Ultrasound-Guided Anterior Quadratus Lumborum Block at the L2 Level in Patients Undergoing Laparoscopic Partial Nephrectomy: A Single-Center, Randomized Controlled Trial",Pain Research and Management,https://doi.org/10.1155/2022/8958859,2022,2,Group 1/no block,Not Applicable,59,Total perioperative cumulative sufentanil consumption,Continuous,Yes,Independent/paired t-tests or Mann-Whitney/Wilcoxon; chi-square/Fisher exact for categorical outcomes,blocked randomization,Block,Anesthesiology & Pain Medicine,10,154,
54,,Effect of Vaginal Spheres and Pelvic Floor Exercises on Female Sexual Function in Women with Urinary Incontinence: A Randomized Controlled Trial (Secondary Analysis),International Urogynecology Journal,https://doi.org/10.1007/s00192-025-06404-7,2025,2,Pelvic floor training,Not Applicable,69,FSFI total score at end of treatment,Continuous,No significant overall FSFI total between-group difference; desire domain significant,Mann-Whitney U tests; per-protocol primary analysis and ITT with multiple imputation sensitivity analysis,blocked randomization,Block,"Women's, Maternal & Child Health",2,4556,
55,,Taking Charge After Acute Exacerbation of Chronic Obstructive Pulmonary Disease: A Randomized Controlled Feasibility Trial of a Psychologically Informed Self-Management Intervention,International Journal of COPD,https://doi.org/10.2147/copd.s393644,2023,2,Control/usual care,Not Applicable,56,Frequency of moderate or severe AECOPD within 12 months,Count,No significant primary rate difference,Poisson regression with log observation time offset,blocked randomization,Block,"Emergency, Pulmonary & Critical Care",6,91,
56,ISRCTN94275121,Transcranial direct current stimulation and attention skills in burnout patients: a randomized blinded sham-controlled pilot study,F1000Research,https://doi.org/10.12688/f1000research.21831.2,2020,2,Sham tDCS,Not Applicable,15,RBANS Attention Index after 3 weeks,Continuous,Yes for tDCS-by-time interaction on attention,"Linear mixed model with fixed tDCS, time, and interaction effects and participant random effect",simple randomization,Simple,Mental & Behavioral Health,7,114,
57,,Functional imagery training versus motivational interviewing for weight loss: a randomised controlled trial of brief individual interventions for overweight and obesity,International Journal of Obesity,https://doi.org/10.1038/s41366-018-0122-1,2018,2,Motivational interviewing,Not Applicable,121,Weight loss and waist-circumference reduction at 6 and 12 months,Continuous,Yes; FIT had greater weight and waist-circumference reductions than MI,Linear mixed-effects models for repeated weight and waist outcomes; Bayesian sensitivity models in supplement,simple randomization,Simple,"Nutrition, Metabolism & Lifestyle",100,602,
58,ISRCTN13247154,Transcranial direct current stimulation and cognitive training in the treatment of cognitive deficit in schizophrenia: a randomized controlled trial,BMC Psychiatry,https://doi.org/10.1186/s12888-025-07749-5,2026,2,Sham tDCS + cognitive training,Not Applicable,30,Change in RBANS Total Score at 1 week,Continuous,No significant superiority of active tDCS over cognitive training alone,ANCOVA of one-week RBANS scores adjusted for baseline; Wilcoxon or t tests for PANSS changes,blocked randomization,Block,Mental & Behavioral Health,0,2139,
59,,Acute effects of tissue flossing on ankle range of motion in athletes with limited ankle dorsiflexion: a randomized controlled trial,BMC Sports Science Medicine and Rehabilitation,https://doi.org/10.1186/s13102-025-01484-w,2025,2,Static stretching,Not Applicable,44,Dominant-leg ankle dorsiflexion ROM immediately post-intervention,Continuous,Yes; tissue flossing showed greater immediate dorsiflexion ROM improvement,Repeated-measures ANOVA with group-by-time interaction and post-hoc comparisons,simple randomization,Simple,Rehabilitation & Physical Medicine,1,470,
60,UMIN000058249,Interferential current stimulation during dental facial treatment improves masticatory function,Scientific Reports,https://doi.org/10.1038/s41598-026-36307-6,2026,2,Sham,Not Applicable,46,Post-treatment glucose elution concentration after IW versus sham period,Continuous,Yes; IW improved glucose elution compared with sham,Mixed-effects model adjusted for period and sequence,randomized crossover sequence,Crossover,Dentistry & Oral Health,1,75,
61,NCT01530685,"A Dietary Supplement Containing Cinnamon, Chromium and Carnosine Decreases Fasting Plasma Glucose and Increases Lean Mass in Overweight or Obese Pre-Diabetic Subjects: A Randomized, Placebo-Controlled Trial",PLoS ONE,https://doi.org/10.1371/journal.pone.0138646,2015,2,Placebo,Not Applicable,61,Change in fasting plasma glucose at 4 months,Continuous,Yes for fasting plasma glucose reduction in supplement arm,Between-arm comparisons of repeated metabolic changes from baseline,simple randomization,Simple,"Nutrition, Metabolism & Lifestyle",71,99,
62,NCT00182559,Late Conversion of Kidney Transplant Recipients from Ciclosporin to Tacrolimus Improves Graft Function: Results from a Randomized Controlled Trial,PLoS ONE,https://doi.org/10.1371/journal.pone.0135674,2015,2,Cyclosporine,Not Applicable,141,Estimated glomerular filtration rate by CKD-EPI through 24 months,Continuous,Yes for model-estimated renal-function difference favoring tacrolimus conversion,Mixed model for repeated CKD-EPI eGFR adjusted for baseline renal function,simple randomization,Simple,Nephrology,3,235,
63,,High-intensity interval training versus progressive high-intensity circuit resistance training on endothelial function and cardiorespiratory fitness in heart failure: A preliminary randomized controlled trial,PLoS ONE,https://doi.org/10.1371/journal.pone.0257607,2021,3,Control,Not Applicable,22,Change in peak VO2 and flow-mediated dilation after training,Continuous,Mixed; VO2 improved in training groups while FMD sample was smaller,"Repeated-measures comparisons of training effects across HIIT, circuit resistance, and control arms",simple randomization,Simple,Cardiovascular Medicine,40,103,
64,,"Low-dose, non-supervised, health insurance initiated exercise for the treatment and prevention of chronic low back pain in employees. Results from a randomized controlled trial",PLoS ONE,https://doi.org/10.1371/journal.pone.0178585,2017,2,Wait-list control,Not Applicable,226,Change in low back pain VAS after 5 months,Continuous,Yes for low-back-pain change favoring exercise,Between-group comparison of 5-month change scores,stratified randomization,Stratified,Rehabilitation & Physical Medicine,18,823,
65,NCT04005846,Can transcranial direct current stimulation (tDCS) over the motor cortex increase endurance running performance? a randomized crossover-controlled trial,PLoS ONE,https://doi.org/10.1371/journal.pone.0312084,2024,2,Sham tDCS,Not Applicable,45,Time to exhaustion in a running performance test,Continuous,No clear active tDCS improvement over sham in cleaned performance endpoint,"Randomized crossover comparisons of active, sham, and control endurance tests",randomized crossover sequence,Crossover,Neurology & Neurorehabilitation,1,127,
66,NCT01366677,Ashtanga-Based Yoga Therapy Increases the Sensory Contribution to Postural Stability in Visually-Impaired Persons at Risk for Falls as Measured by the Wii Balance Board: A Pilot Randomized Controlled Trial,PLoS ONE,https://doi.org/10.1371/journal.pone.0129646,2015,2,Waitlist control,Not Applicable,17,Postural stability mean total velocity on foam-surface balance tasks,Continuous,Yes for foam eyes-open postural stability in the yoga arm,Paired tests within yoga arm and between-group comparisons of balance outcomes,simple randomization,Simple,Rehabilitation & Physical Medicine,46,64,
67,DRKS00005254,Middle molecule clearance with high cut-off dialyzer versus high-flux dialyzer using continuous veno-venous hemodialysis with regional citrate anticoagulation: A prospective randomized controlled trial,PLoS ONE,https://doi.org/10.1371/journal.pone.0215823,2019,2,Standard filter,Not Applicable,60,Mean beta2-microglobulin clearance during continuous venovenous hemodialysis,Continuous,Yes for beta2-microglobulin clearance favoring high cut-off filter,Between-filter comparison of solute clearances during CVVHD,simple randomization,Simple,Nephrology,46,70,
68,,A randomized controlled trial of a brain-computer interface based attention training program for ADHD,PLoS ONE,https://doi.org/10.1371/journal.pone.0216225,2019,2,Control,Not Applicable,172,Change in clinician-rated ADHD inattentive symptoms at week 8,Continuous,Yes for clinician-rated inattentive symptom improvement,Repeated-measures mixed/ANCOVA models of ADHD symptom trajectories,simple randomization,Simple,Neurology & Neurorehabilitation,94,252,
69,,A Randomized Controlled Trial on the Effect of Tapentadol and Morphine on Conditioned Pain Modulation in Healthy Volunteers,PLoS ONE,https://doi.org/10.1371/journal.pone.0128997,2015,3,Placebo,Not Applicable,12,Conditioned pain modulation eVAS group-curve response,Continuous,Yes; tapentadol and morphine altered conditioned pain modulation curves versus placebo,Crossover time-course comparisons of electronic VAS responses with and without conditioning stimulus,randomized crossover sequence,Crossover,Anesthesiology & Pain Medicine,23,255,
70,,"Enhancing Cognitive Abilities with Comprehensive Training: A Large, Online, Randomized, Active-Controlled Trial",PLoS ONE,https://doi.org/10.1371/journal.pone.0134467,2015,2,Crosswords control,Not Applicable,4715,Change in cognitive Grand Index after online training,Continuous,Yes for Lumosity improvement over crossword control on Grand Index,ANCOVA/regression of post-training cognitive outcomes adjusted for baseline,simple randomization,Simple,Neurology & Neurorehabilitation,174,74,
71,CTRI/2016/09/007240,Effectiveness of antenatal screening of asymptomatic bacteriuria in reduction of prematurity and low birth weight: Evaluating a point-of-care rapid test in a pragmatic randomized controlled study,EClinicalMedicine,https://doi.org/10.1016/j.eclinm.2021.100762,2021,2,Control,Not Applicable,240,Composite preterm birth or low birth weight,Binary,Yes; intervention reduced the composite outcome in the audited dataset,Pragmatic randomized comparison of outcome proportions,simple randomization,Simple,Infectious Diseases & Immunology,9,5060,
72,,"Treatment of post-partum haemorrhage with sublingual misoprostol versus oxytocin in women not exposed to oxytocin during labour: a double-blind, randomised, non-inferiority trial",The Lancet,https://doi.org/10.1016/s0140-6736(09)61924-3,2010,2,Oxytocin IV,Not Applicable,978,Active bleeding controlled within 20 minutes of PPH treatment,Binary,Non-inferiority trial; cleaned data reproduces the paper's active-bleeding-control counts,Double-blind randomized non-inferiority comparison of treatment success proportions,simple randomization,Simple,"Women's, Maternal & Child Health",127,128,
73,,Coping with Complications that Occur after Prostate Biopsy for Satisfactory Evaluation of Call Service Using Artificial Intelligence: A Pilot Randomized Controlled Trial,The World Journal of Men s Health,https://doi.org/10.5534/wjmh.240191,2024,2,Human-assisted reassurance call,Not Applicable,29,Patient satisfaction with the reassurance-call service after prostate biopsy,Ordinal,Human-assisted reassurance calls had higher service satisfaction than AI-assisted calls,Two-arm comparison of the publication-defined call-service primary outcome,simple randomization,Simple,Surgery,0,37,
74,,Effect of a Home‐Base Core Stability Exercises in Hereditary Ataxia. A Randomized Controlled Trial. A Pilot Randomized Controlled Trial,Movement Disorders Clinical Practice,https://doi.org/10.1002/mdc3.14036,2024,2,Standard care,Not Applicable,23,Change in SARA ataxia severity and Trunk Impairment Scale after intervention,Continuous,Mixed; primary and secondary functional outcomes favored exercise in selected domains,Assessor-blind randomized pilot trial with between-group comparisons of change scores,simple randomization,Simple,Neurology & Neurorehabilitation,9,69,
75,,"Is conventional radiofrequency ablation of the superolateral branch, one of the three genicular nerves targeted as standard, necessary or not? A non-inferiority randomized controlled trial",The Korean journal of pain,https://doi.org/10.3344/kjp.24098,2024,2,Conventional three-branch RFA,Not Applicable,47,Change in numeric rating scale knee pain at 3 months,Continuous,Yes for non-inferiority of reduced-branch RFA,Non-inferiority randomized comparison of pain and WOMAC changes,simple randomization,Simple,Anesthesiology & Pain Medicine,1,59,
76,,Comparison of time-segmented-target teaching and traditional teaching methods for spinal puncture: a randomized trial,Frontiers in Education,https://doi.org/10.3389/feduc.2025.1665203,2025,2,Traditional teaching,Not Applicable,134,Post-training spinal puncture total performance score,Continuous,Yes; time-segmented-target teaching improved performance score,Randomized comparison of post-training assessment scores,simple randomization,Simple,"General Medicine, Health Services & Education",0,69,
77,,The effectiveness of core stability exercises on functional outcomes in early subacute stroke recovery: a randomized controlled trial,Topics in Stroke Rehabilitation,https://doi.org/10.1080/10749357.2024.2439712,2025,2,Control rehabilitation,Not Applicable,87,Change in Trunk Impairment Scale after core stability exercise,Continuous,Yes; core stability exercise improved trunk impairment,Randomized rehabilitation comparison of functional change scores,simple randomization,Simple,Neurology & Neurorehabilitation,2,56,
78,NCT04363541,Regional moderate hyperthermia for mild-to-moderate COVID-19 (TherMoCoV study): a randomized controlled trial,Frontiers in Medicine,https://doi.org/10.3389/fmed.2023.1256197,2023,2,Control,Not Applicable,105,Any COVID-19 disease progression by 28 days,Binary,No clear reduction in 28-day disease progression,Open-label randomized comparison of progression risk and secondary clinical endpoints,minimization,Minimization,Infectious Diseases & Immunology,1,15,
79,,Development and effects of a webtoon education program on preventive self-management related to premature labor for women of childbearing age: a randomized controlled trial,Korean journal of women health nursing/Yeoseong geon'gang ganho hag'hoeji/Yeoseong geon-gang ganho hakoeji,https://doi.org/10.4069/kjwhn.2022.09.22,2022,2,Control,Not Applicable,98,Premature-labor preventive self-management knowledge after education,Continuous,Yes; webtoon education improved knowledge and self-efficacy,Randomized pre-post-follow-up comparison of education outcomes,stratified randomization,Stratified,"Women's, Maternal & Child Health",9,121,
80,,Efficacy of a Digital Peer Support Program on Weight Management and Mental Health in University Students With Preobesity: Randomized Controlled Trial,JMIR mhealth and uhealth,https://doi.org/10.2196/78960,2026,3,Control,Not Applicable,216,Change in BMI at 6 months,Continuous,Yes for BMI reduction in the digital peer-support arm,Randomized digital-health comparison of anthropometric and mental-health changes,simple randomization,Simple,"Nutrition, Metabolism & Lifestyle",1,30,
81,,The impact of Aprepitant on Nausea and Vomiting following Laparoscopic Sleeve Gastrectomy: A Blinded Randomized Controlled Trial,Obesity Surgery,https://doi.org/10.1007/s11695-024-07129-0,2024,3,Placebo,Not Applicable,401,Nausea/PONV at 24 hours,Binary,Publication reviewed; primary statistical significance not clearly reported in metadata sources,Arm-level count/rate comparisons,simple randomization,Simple,Anesthesiology & Pain Medicine,17,44,
82,NCT03807037,Incidence and Outcomes of Postoperative Atrial Fibrillation after Coronary Artery Bypass Grafting of a Randomized Controlled Trial: A Blinded End-of-cycle Analysis,Reviews in Cardiovascular Medicine,https://doi.org/10.31083/j.rcm2304122,2022,2,Not identifiable (blinded arm mapping not reported),Not Applicable,250,Occurrence of postoperative atrial fibrillation,Binary,Yes; publication reports statistically significant primary or main outcome effect,Arm-level and overall event summaries,simple randomization,Simple,Surgery,8,463,
83,NCT03032731,"Effects of a Web-Based, Evolutionary Mismatch-Framed Intervention Targeting Physical Activity and Diet: a Randomised Controlled Trial",International Journal of Behavioral Medicine,https://doi.org/10.1007/s12529-019-09821-3,2019,2,Control,Not Applicable,59,Daily physical activity level and total energy intake at 12 weeks,Continuous,Yes; publication reports statistically significant primary or main outcome effect,ANCOVA/adjusted mean difference with descriptive change summaries,simple randomization,Simple,Mental & Behavioral Health,26,92,
84,,Bouldering psychotherapy is not inferior to cognitive behavioural therapy in the group treatment of depression: A randomized controlled trial,British Journal of Clinical Psychology,https://doi.org/10.1111/bjc.12347,2021,2,CBT,Not Applicable,156,Depressive symptom severity assessed by MADRS and PHQ-9,Continuous,Yes; publication reports statistically significant primary or main outcome effect,Mixed-model ANOVA and non-inferiority comparisons,simple randomization,Simple,Neurology & Neurorehabilitation,31,61,
85,NCT04468074,The effects of virtual reality neuroscience-based therapy on clinical and neuroimaging outcomes in patients with chronic back pain: a randomized clinical trial,Pain,https://doi.org/10.1097/j.pain.0000000000003198,2024,2,Wait-list control,Not Applicable,61,Brief Pain Inventory average pain intensity after treatment,Continuous,Yes; publication reports statistically significant primary or main outcome effect,Group comparisons of clinical pain outcomes,simple randomization,Simple,Anesthesiology & Pain Medicine,24,141,
86,,VIBRANT: Vaginal lIve Biotherapeutic RANdomized Trial: A Phase 1 randomized trial of multi-strain vaginal <i>L. crispatus</i> live biotherapeutic products in people with bacterial vaginosis,medRxiv,https://doi.org/10.1101/2025.09.18.25336053,2025,5,Placebo,1,96,Detection of L. crispatus LBP strains by metagenomic sequencing in first five weeks,Binary,Publication reviewed; primary statistical significance not clearly reported in metadata sources,Primary safety and microbiome detection summaries,simple randomization,Simple,"Women's, Maternal & Child Health",3,22,
87,,Comparison of hemodynamic response to tracheal intubation and postoperative pain in patients undergoing closed reduction of nasal bone fracture under general anesthesia: a randomized controlled trial comparing fentanyl and oxycodone,BMC Anesthesiology,https://doi.org/10.1186/s12871-016-0279-x,2016,2,Fentanyl,Not Applicable,64,Hemodynamic response after intubation and postoperative pain NRS/VAS in PACU,Continuous,Mixed: pain significant; hemodynamic deltas not significant,"Independent group comparisons; table reports means, medians, counts",simple randomization,Simple,Anesthesiology & Pain Medicine,19,226,
88,NCT01028066,Effects of nutrition education on recurrent coronary events after percutaneous coronary intervention: A randomized clinical trial,BMC Nutrition,https://doi.org/10.1186/s40795-016-0111-5,2016,2,Control,Not Applicable,200,Mortality after one-year follow-up,Binary,No,Absolute risk reduction and Cox models in publication,simple randomization,Simple,Cardiovascular Medicine,5,135,
89,ChiCTR-IOR-15007366,Overview of the NTCIR-10 cross-lingual link discovery task,BMC Complementary and Alternative Medicine,https://doi.org/10.1186/s12906-016-1337-0,2013,3,Nimodipine alone,Not Applicable,119,Montreal Cognitive Assessment score after three-month therapy,Continuous,Yes,Within- and between-group MoCA comparisons,simple randomization,Simple,Neurology & Neurorehabilitation,14,17,
90,NCT01739816,Impact of a community pharmacist-led medication review on medicines use in patients on polypharmacy - a prospective randomised controlled trial,BMC Health Services Research,https://doi.org/10.1186/s12913-016-1384-8,2016,2,Control,Not Applicable,293,Objective adherence by MPR and DPPR,Continuous,No,Independent group comparisons of adherence summaries,simple randomization,Simple,"General Medicine, Health Services & Education",124,60,
91,ISRCTN29869308,The MOVE-trial: Monocryl® vs. Vicryl Rapide™ for skin repair in mediolateral episiotomies: a randomized controlled trial,BMC Pregnancy and Childbirth,https://doi.org/10.1186/s12884-017-1545-8,2017,2,Vicryl Rapide,Not Applicable,126,VAS pain while sitting at 10 days,Continuous,No,Independent group comparisons of VAS and wound outcomes,simple randomization,Simple,"Women's, Maternal & Child Health",17,172,
92,PACTR201610001823405,Improving malaria preventive practices and pregnancy outcomes through a health education intervention: A randomized controlled trial,Malaria Journal,https://doi.org/10.1186/s12936-021-03586-5,2021,2,Control,Not Applicable,371,Reported ITN use and IPTp doses four months post-intervention,Count; Ordinal,Yes,Chi-squared tests for practice and clinical outcomes,simple randomization,Simple,Infectious Diseases & Immunology,18,72,
93,NCT01722734,The Impact of Text Message Reminders on Adherence to Antimalarial Treatment in Northern Ghana: A Randomized Trial,PLoS ONE,https://doi.org/10.1371/journal.pone.0109032,2014,3,Control,Not Applicable,1140,Self-reported completion of ACT antimalarial treatment,Binary,Yes,Logistic regression with clustered standard errors,simple randomization,Simple,Infectious Diseases & Immunology,86,38,
94,NCT01690754,Impact of a Daily SMS Medication Reminder System on Tuberculosis Treatment Outcomes: A Randomized Controlled Trial,PLoS ONE,https://doi.org/10.1371/journal.pone.0162944,2016,2,Control,Not Applicable,2207,Clinically recorded tuberculosis treatment success,Binary,No,Group comparison and regression in publication,simple randomization,Simple,Infectious Diseases & Immunology,134,4715,
95,,"Laryngeal mask vs. laryngeal tube trial in paediatric patients (LaMaTuPe): a single-blinded, open-label, randomised-controlled trial",European Journal of Emergency Medicine,https://doi.org/10.1097/mej.0000000000001178,2024,2,Laryngeal mask,Not Applicable,148,Insertion time in seconds,Continuous,Yes,Mann-Whitney U test; medians and IQR,blocked randomization,Block,Anesthesiology & Pain Medicine,8,240,
96,,Effects of a Lamellar-Structured Ceramide-Containing Emulsion on the Skin Barrier Function of Surgical Nurses: A Randomized Controlled Trial,Not identified,Not identified,2025,2,Not identified,Not Applicable,35,Change in transepidermal water loss at 7 days,Continuous,Publication reviewed; primary statistical significance not clearly reported in metadata sources,Not audited; restored from backup without main publication audit,simple randomization,Simple,Surgery,0,978,
97,NCT04211662,Effect of a tailored multidimensional intervention on the care burden among family caregivers of stroke survivors: a randomised controlled trial,BMJ Open,https://doi.org/10.1136/bmjopen-2021-049741,2022,2,Group 1,Not Applicable,110,zarit burden 3m,Continuous,No statistically significant primary effect reported,Repeated-measures/mixed-effects model,simple randomization,Simple,Neurology & Neurorehabilitation,33,44,
98,NCT02143934,Strategies for Understanding and Reducing the Plasmodium vivax and Plasmodium ovale Hypnozoite Reservoir in Papua New Guinean Children: A Randomised Placebo-Controlled Trial and Mathematical Model,The Lancet,https://doi.org/10.1016/s0140-6736(13)61796-8,2013,2,Placebo,Not Applicable,499,pvivax qpcr infection 8m,Time-to-event,Yes; publication reports statistically significant primary or main outcome effect,Survival/time-to-event analysis,simple randomization,Simple,Infectious Diseases & Immunology,292,23,
99,ACTRN12608000469314,Randomised controlled trial of an education and support package for stroke patients and their carers,BMJ,https://doi.org/10.1136/bmj.323.7304.8,2001,2,Control,Not Applicable,119,stroke knowledge 3m,Continuous,No statistically significant primary effect reported,ANCOVA/regression adjusted for baseline covariates,simple randomization,Simple,Neurology & Neurorehabilitation,116,47,
100,,Supervised physical therapy vs. home exercise for patients with lumbar spinal stenosis: a randomized controlled trial,The Spine Journal,https://doi.org/10.1016/j.spinee.2019.04.009,2019,2,Home exercise,Not Applicable,86,Change in Zurich Claudication Questionnaire symptom-severity score at 6 weeks,Continuous,Yes; supervised physical therapy improved the primary responder rate versus home exercise,Two-sample comparison of change scores and MCID responder-rate analysis (intention-to-treat),individual 1:1 randomization with concealed allocation; sequence method not reported,Not reported,Rehabilitation & Physical Medicine,66,134,
101,,Epidural abscess after dental extraction,Age and Ageing,https://doi.org/10.1093/ageing/afv094,2015,2,Standard care,Not Applicable,417,eq5d pain 3m,Ordinal,Publication reviewed; primary statistical significance not clearly reported in metadata sources,Between-arm comparison of randomized groups,simple randomization,Simple,Dentistry & Oral Health,9,87,
102,NCT01876628,Adjunctive clindamycin for cellulitis: a clinical trial comparing flucloxacillin with or without clindamycin for the treatment of limb cellulitis,BMJ Open,https://doi.org/10.1136/bmjopen-2016-013260,2017,2,Flucloxacillin + clindamycin,Not Applicable,410,improved day5,Binary,No statistically significant primary effect reported,Between-arm comparison of proportions/logistic regression,simple randomization,Simple,Infectious Diseases & Immunology,45,105,
103,NCT01136148,Economic Evaluation of a General Hospital Unit for Older People with Delirium and Dementia (TEAM Randomised Controlled Trial),PLOS ONE,https://doi.org/10.1371/journal.pone.0140662,2015,2,Standard care,Not Applicable,599,Observed quality-adjusted life years (QALYs) through 90 days,Continuous,No,Generalized linear models for costs and QALYs with baseline adjustment; multiple imputation in the publication,block randomization stratified by care-home residence,Stratified Block,"General Medicine, Health Services & Education",23,98,
104,ACTRN12609000426280,"Perioperative medication management: expanding the role of the preadmission clinic pharmacist in a single centre, randomised controlled trial of collaborative prescribing",BMJ Open,https://doi.org/10.1136/bmjopen-2013-003027,2013,2,Usual care,Not Applicable,366,total medications,Count,Yes; publication reports statistically significant primary or main outcome effect,Between-arm comparison of randomized groups,simple randomization,Simple,Surgery,9,115,
105,NCT01610323,A 12-Week Exercise Program for Pregnant Women with Obesity to Improve Physical Activity Levels: An Open Randomised Preliminary Study,BMC Pregnancy and Childbirth,https://doi.org/10.1186/s12884-015-0734-5,2015,2,Standard care,Not Applicable,50,counts per day 28w,Continuous,Yes; publication reports statistically significant primary or main outcome effect,Repeated-measures/mixed-effects model,simple randomization,Simple,"Women's, Maternal & Child Health",94,216,
106,,Major depressive disorder,Nature Reviews Disease Primers,https://doi.org/10.1038/nrdp.2016.65,2016,2,Mentalization-based treatment,Not Applicable,44,hdrs 18w,Continuous,Publication reviewed; primary statistical significance not clearly reported in metadata sources,Between-arm comparison of randomized groups,simple randomization,Simple,Mental & Behavioral Health,2147,401,
107,,A randomised trial comparing the clinical effectiveness of different emergency department healthcare professionals in soft tissue injury management,BMJ Open,https://doi.org/10.1136/bmjopen-2012-001092,2012,3,Doctor,Not Applicable,217,function 8w,Continuous,Yes; publication reports statistically significant primary or main outcome effect,Between-arm comparison of randomized groups,minimization,Minimization,"Emergency, Pulmonary & Critical Care",63,250,
108,NCT03413891,Tranexamic acid and bleeding in patients treated with non-vitamin K oral anticoagulants undergoing dental extraction: The EXTRACT-NOAC randomized clinical trial,PLOS Medicine,https://doi.org/10.1371/journal.pmed.1003601,2021,2,Placebo,4,218,Any oral post-extraction bleeding through day 7,Binary,No; the primary bleeding outcome did not differ significantly between groups,Chi-squared test with risk ratio and 95% confidence interval for the primary outcome,computer-generated block randomization without stratification,Block,Dentistry & Oral Health,20,59,
